x,y,dcx,dcy,dc,adv,vdc
500.0,75.0,0.0004000000000008441,0.0,-0.0004000000000008441,-0.0004040520526975648,-4.052052696720659e-06
525.0,75.0,0.0,-0.00039999999999906777,0.0,1.6097399469031185e-06,1.6097399469031185e-06
550.0,75.0,0.00039999999999906777,0.0,0.0007999999999999119,0.000795948764516954,-4.051235482957927e-06
575.0,75.0,0.0,0.00039999999999906777,0.0007999999999999119,0.0007983891885821943,-1.6108114177176138e-06
600.0,75.0,-0.0007999999999999119,0.0,0.0007999999999999119,0.0008081040945599249,8.104094560013027e-06
625.0,75.0,0.0,0.0,0.0007999999999999119,0.0007999999999999119,-0.0
650.0,75.0,0.0,-0.0007999999999999119,0.0004000000000008441,0.0004032194916715197,3.2194916706755603e-06
675.0,75.0,0.0,-0.0007999999999999119,0.0004000000000008441,0.0004032194940238801,3.219494023035964e-06
700.0,75.0,0.0007999999999999119,0.0,0.0,-8.107341258164971e-06,-8.107341258164971e-06
725.0,75.0,0.001200000000000756,0.0,-0.0007999999999999119,-0.0008121482457681148,-1.2148245768202931e-05
750.0,75.0,-0.0004000000000008441,-0.0007999999999999119,-0.0007999999999999119,-0.0007927285311847457,7.2714688151661555e-06
775.0,75.0,-0.0011999999999989797,-0.0011999999999989797,-0.0004000000000008441,-0.0003830146336684196,1.6985366332424537e-05
800.0,75.0,0.0007999999999999119,-0.00039999999999906777,-0.0007999999999999119,-0.0008064937854806407,-6.49378548072887e-06
825.0,75.0,0.0,0.0,-0.0004000000000008441,-0.0004000000000008441,-0.0
850.0,75.0,-0.0007999999999999119,0.0,0.00039999999999906777,0.00040811058273491246,8.110582735844674e-06
875.0,75.0,0.0007999999999999119,0.0,-0.0007999999999999119,-0.0008081058736125399,-8.105873612628023e-06
900.0,75.0,0.00039999999999906777,0.00039999999999906777,-0.00039999999999906777,-0.0004056645535836224,-5.664553584554578e-06
925.0,75.0,-0.00039999999999906777,0.0,0.0,4.050762110912534e-06,4.050762110912534e-06
950.0,75.0,-0.0004000000000008441,-0.001200000000000756,0.0,8.877162626946484e-06,8.877162626946484e-06
975.0,75.0,-0.00039999999999906777,-0.0011999999999989797,0.0011999999999989797,0.001208879658978145,8.879658979165399e-06
1000.0,75.0,-0.0004000000000008441,-0.0007999999999999119,0.001200000000000756,0.0012072715475207746,7.271547520018558e-06
1025.0,75.0,0.0,-0.0007999999999999119,0.0004000000000008441,0.00040321952296018006,3.2195229593359623e-06
1050.0,75.0,0.0,-0.0007999999999999119,0.0,3.219524466092693e-06,3.219524466092693e-06
1075.0,75.0,0.0,-0.0004000000000008441,0.0,1.6097629210825617e-06,1.6097629210825617e-06
1100.0,75.0,0.0,0.0,0.0,0.0,-0.0
1125.0,75.0,0.0004000000000008441,0.0004000000000008441,0.0,-5.662201405368212e-06,-5.662201405368212e-06
1150.0,75.0,0.0,0.0,0.0,0.0,-0.0
1175.0,75.0,-0.0004000000000008441,-0.0007999999999999119,0.0,7.271552015071422e-06,7.271552015071422e-06
1200.0,75.0,0.0004000000000008441,0.0,-0.0004000000000008441,-0.00040405202197366205,-4.052021972817944e-06
1225.0,75.0,0.00039999999999906777,0.0007999999999999119,-0.00039999999999906777,-0.00040727107168545717,-7.271071686389406e-06
1250.0,75.0,-0.00039999999999906777,0.0004000000000008441,0.0,2.4415463210505925e-06,2.4415463210505925e-06
25.0,100.0,-0.0004000000000008441,0.0,0.0,4.052064480936587e-06,4.052064480936587e-06
50.0,100.0,0.0,0.0,0.0004000000000008441,0.0004000000000008441,-0.0
75.0,100.0,0.0004000000000008441,0.0,0.0,-4.054689141957712e-06,-4.054689141957712e-06
100.0,100.0,0.0,0.0,-0.0004000000000008441,-0.0004000000000008441,-0.0
125.0,100.0,0.0,0.0004000000000008441,-0.0004000000000008441,-0.0004016097264313507,-1.6097264305066102e-06
150.0,100.0,0.0,0.0004000000000008441,-0.0004000000000008441,-0.00040160972682318273,-1.6097268223385816e-06
175.0,100.0,-0.0004000000000008441,0.0,0.0,4.052063651901218e-06,4.052063651901218e-06
200.0,100.0,0.0004000000000008441,0.0004000000000008441,-0.0004000000000008441,-0.000405661791148434,-5.661791147589889e-06
225.0,100.0,0.0007999999999999119,0.0007999999999999119,-0.001200000000000756,-0.001211323582664083,-1.1323582663326927e-05
250.0,100.0,-0.0004000000000008441,0.00039999999999906777,-0.0007999999999999119,-0.0007975576667309886,2.4423332689231815e-06
275.0,100.0,-0.00039999999999906777,0.0,0.0,4.0523332752583745e-06,4.0523332752583745e-06
300.0,100.0,0.00039999999999906777,0.00039999999999906777,0.0,-5.660265733459563e-06,-5.660265733459563e-06
325.0,100.0,-0.00039999999999906777,0.0,0.0,4.051698162000461e-06,4.051698162000461e-06
350.0,100.0,0.0,-0.00039999999999906777,0.0,1.6100378438932422e-06,1.6100378438932422e-06
375.0,100.0,0.00039999999999906777,0.0,-0.00039999999999906777,-0.00040405160588302463,-4.051605883956865e-06
400.0,100.0,0.0,0.00039999999999906777,-0.0007999999999999119,-0.0008016097343489617,-1.6097343490498902e-06
425.0,100.0,0.0004000000000008441,0.0004000000000008441,-0.0007999999999999119,-0.000805661493364509,-5.6614933645970684e-06
450.0,100.0,0.00039999999999906777,0.0007999999999999119,-0.0007999999999999119,-0.0008072734713571912,-7.273471357279279e-06
475.0,100.0,-0.0007999999999999119,0.0007999999999999119,0.0,4.885679239334559e-06,4.885679239334559e-06
500.0,100.0,-0.00039999999999906777,0.0,0.0,4.05440600602779e-06,4.05440600602779e-06
525.0,100.0,0.00039999999999906777,0.00039999999999906777,-0.0007999999999999119,-0.0008056617914425795,-5.6617914426676185e-06
550.0,100.0,0.0007999999999999119,0.0007999999999999119,-0.0007999999999999119,-0.00081132628934511,-1.1326289345198132e-05
575.0,100.0,0.0,0.0007999999999999119,-0.00039999999999906777,-0.00040321856820114185,-3.2185682020740693e-06
600.0,100.0,-0.0011999999999989797,0.0004000000000008441,0.00039999999999906777,0.0004105479174380054,1.0547917438937606e-05
625.0,100.0,-0.0004000000000008441,0.0,0.001200000000000756,0.0012040520459560727,4.052045955316603e-06
650.0,100.0,0.0004000000000008441,0.0004000000000008441,0.00039999999999906777,0.0003943356498192093,-5.6643501798584486e-06
675.0,100.0,0.0,0.0004000000000008441,0.0,-1.6098235178678823e-06,-1.6098235178678823e-06
700.0,100.0,0.0,-0.00039999999999906777,0.0007999999999999119,0.0008016085264667379,1.6085264668260477e-06
725.0,100.0,0.0,-0.0015999999999998238,0.00039999999999906777,0.00040643838711895,6.438387119882227e-06
750.0,100.0,0.0,-0.0011999999999989797,0.0,4.82925202853735e-06,4.82925202853735e-06
775.0,100.0,0.00039999999999906777,0.00039999999999906777,0.0,-5.6618230752568785e-06,-5.6618230752568785e-06
800.0,100.0,0.0,-0.0004000000000008441,-0.00039999999999906777,-0.00039838994158764414,1.6100584114236241e-06
825.0,100.0,-0.00039999999999906777,-0.0007999999999999119,-0.0004000000000008441,-0.00039272845738778364,7.271542613060475e-06
850.0,100.0,0.0,0.0,0.0,0.0,-0.0
875.0,100.0,0.0,-0.0007999999999999119,0.0,3.22111602562533e-06,3.22111602562533e-06
900.0,100.0,0.0,-0.0011999999999989797,0.00039999999999906777,0.0004048282405826751,4.828240583607313e-06
925.0,100.0,0.00039999999999906777,-0.0004000000000008441,0.0,-2.4416984895099708e-06,-2.4416984895099708e-06
950.0,100.0,-0.00039999999999906777,-0.00039999999999906777,0.00039999999999906777,0.00040565980045379754,5.6598004547297805e-06
975.0,100.0,-0.0004000000000008441,-0.0004000000000008441,0.002000000000000668,0.002005661787325328,5.661787324659973e-06
1000.0,100.0,0.0004000000000008441,0.0004000000000008441,0.0011999999999989797,0.0011943373486407386,-5.6626513582409774e-06
1025.0,100.0,0.0,0.0004000000000008441,0.0,-1.610716308089688e-06,-1.610716308089688e-06
1050.0,100.0,-0.0004000000000008441,0.0,0.0,4.052024836916814e-06,4.052024836916814e-06
1075.0,100.0,0.0,0.0,0.0,0.0,-0.0
1100.0,100.0,0.0004000000000008441,0.0004000000000008441,-0.0004000000000008441,-0.00040566178745403246,-5.6617874531883275e-06
1125.0,100.0,0.00039999999999906777,0.00039999999999906777,-0.00039999999999906777,-0.0004056622018798766,-5.662201880808779e-06
1150.0,100.0,0.0,0.00039999999999906777,-0.00039999999999906777,-0.0004016100702726077,-1.6100702735399747e-06
1175.0,100.0,0.0,0.0007999999999999119,-0.0007999999999999119,-0.0008032195303543283,-3.2195303544163388e-06
1200.0,100.0,0.0,0.00039999999999906777,-0.0007999999999999119,-0.0008016097654584693,-1.6097654585573912e-06
1225.0,100.0,0.0,0.0,-0.00039999999999906777,-0.00039999999999906777,-0.0
1250.0,100.0,-0.00039999999999906777,0.0,0.0,4.051388350631231e-06,4.051388350631231e-06
25.0,125.0,-0.0004000000000008441,0.0,0.0,4.052064488121785e-06,4.052064488121785e-06
50.0,125.0,0.0,0.0,0.0004000000000008441,0.0004000000000008441,-0.0
75.0,125.0,0.0004000000000008441,0.0,0.00039999999999906777,0.00039595001733262123,-4.049982666446522e-06
100.0,125.0,0.0,0.0,0.0,0.0,-0.0
125.0,125.0,0.0,0.0,-0.0004000000000008441,-0.0004000000000008441,-0.0
150.0,125.0,0.0,0.0,-0.0004000000000008441,-0.0004000000000008441,-0.0
175.0,125.0,-0.0004000000000008441,0.0,0.0,4.052063673554899e-06,4.052063673554899e-06
200.0,125.0,0.0004000000000008441,0.0,0.0,-4.0522443635214005e-06,-4.0522443635214005e-06
